	source	target	embedding_similarity	pair_distance	language_distance	shared_incoming_cnt	shared_outgoing_cnt	source_incoming_cnt	target_incoming_cnt	source_outgoing_cnt	target_outgoing_cnt	milne_witten	begin_time_distance	interval_overlap	relevance_score
432	1._Division_(Deutsches_Kaiserreich)	Schlacht_bei_Gumbinnen	0.9201695919036864	13222.422467213964	7.826462506557092	13	6	99	68	53	42	0.8092710355787687	35294.0	-133.0	5.631928370888217
433	1._Division_(Deutsches_Kaiserreich)	Schlacht_bei_Tannenberg_(1914)	0.8637354373931885	3292.683434891826	5.553124835626048	20	9	99	316	53	77	0.7312199781162827	35304.0	0.0	5.161924741642482
434	1._Division_(Luxemburg)_1913/14	1._Division_(Luxemburg)_1914/15	0.93808114528656	0.0	0.0	2	3	2	2	5	3	0.0			6.09459350383679
435	1._Division_(Luxemburg)_1914/15	1._Division_(Luxemburg)_1915/16	0.9553056955337524	0.0	0.0	2	3	2	2	3	3	0.0			4.760879264248342
436	1._Division_(Luxemburg)_1922/23	1._Division_(Luxemburg)_1923/24	0.9367973208427428	0.0	0.0	0	3	2	1	3	4	0.0			5.161924741642482
437	1._Divisjon_1963	1._Divisjon_1964	0.9051525592803956	0.0	10.265707373830775	1	0	1	4	2	3	0.906733373020994	365.0	1.0	3.0433745488606228
438	1._Divisjon_1963	Hovedserien_1961/62	0.9392369985580444	0.0	10.265707373830775	1	0	1	3	2	1	0.9260879468347638			3.675692046013618
439	1._Divisjon_1964	1._Divisjon_1965	0.8890239000320435	0.0	10.265707373830775	2	0	4	2	3	1	0.9510856482093056	366.0	1.0	3.646553036641248
440	1._Divisjon_1965	1._Divisjon_1966	0.890902042388916	0.0	10.265707373830775	1	0	2	1	1	1	0.953366686510497	365.0	1.0	4.046175032838675
441	1._Divisjon_1966	1._Divisjon_1967	0.910506784915924	0.0	10.265707373830775	1	0	1	1	1	1	0.0	365.0	1.0	3.658515168478368
442	1._Divisjon_1967	1._Divisjon_1968	0.9387105703353882	0.0	10.265707373830775	1	0	1	2	1	1	0.953366686510497	365.0	1.0	3.957811285235168
443	1._Divisjon_1968	1._Divisjon_1969	0.918797492980957	0.0	10.265707373830775	0	0	2	0	1	2	0.0	366.0	1.0	3.6445878982455056
444	1._Divisjon_1969	1._Divisjon_1970	0.9383001327514648	0.0	10.265707373830775	0	0	0	1	2	1	0.0	365.0	1.0	4.219841467517109
445	1._Divisjon_1970	1._Divisjon_1971	0.931978702545166	0.0	10.265707373830775	0	0	1	0	1	2	0.0	365.0	1.0	2.6121082223110754
446	1._Divisjon_1972	1._Divisjon_1973	0.9099749326705932	0.0	10.265707373830775	0	1	0	0	1	2	0.0	366.0	1.0	2.621101411601658
447	1._Divisjon_1974	1._Divisjon_1975	0.9472678303718568	0.0	10.265707373830775	0	1	0	0	1	4	0.0	365.0	1.0	2.4539534050772254
448	1._Divisjon_1975	1._Divisjon_1976	0.9097256660461426	0.0	10.265707373830775	0	0	0	0	4	0	0.0	365.0	1.0	1.4224271800421835
449	1._Divisjon_1979	1._Divisjon_1980	0.9355876445770264	0.0	10.265707373830775	0	3	0	0	6	3	0.0	365.0	1.0	2.0445677589263167
450	1._Divisjon_1980	1._Divisjon_1981	0.9379072785377502	0.0	10.265707373830775	0	2	0	0	3	2	0.0	366.0	1.0	2.122466385522929
451	1._Divisjon_1981	1._Divisjon_1982	0.9205876588821412	0.0	10.265707373830775	0	1	0	0	2	1	0.0	365.0	1.0	2.3463603396215302
452	1._Divisjon_1982	1._Divisjon_1983	0.9150716066360474	0.0	10.265707373830775	0	0	0	0	1	0	0.0	365.0	1.0	2.4123196235062223
453	1._Divisjon_1983	1._Divisjon_1984	0.9208509922027588	0.0	10.265707373830775	0	0	0	1	0	2	0.0	365.0	1.0	2.3954845658371875
454	1._Divisjon_1984	1._Divisjon_1985	0.9283050894737244	0.0	10.265707373830775	0	1	1	0	2	1	0.0	366.0	1.0	2.3788828561462925
455	1._Divisjon_1985	1._Divisjon_1986	0.9237135052680968	0.0	10.265707373830775	0	0	0	3	1	2	0.0	365.0	1.0	2.503863113430917
456	1._Divisjon_1986	1._Divisjon_1987	0.9224473237991332	0.0	10.265707373830775	0	0	3	0	2	0	0.0	365.0	1.0	1.611474144449804
457	1._Divisjon_1987	1._Divisjon_1988	0.936697244644165	0.0	10.265707373830775	0	0	0	2	0	3	0.0	365.0	1.0	3.142895277644137
458	1._Divisjon_1988	1._Divisjon_1989	0.9533724188804626	0.0	10.265707373830775	0	1	2	2	3	2	0.0	366.0	1.0	3.116277184622559
459	1._Divisjon_1989	1._Divisjon_1990	0.9567463397979736	0.0	10.265707373830775	0	1	2	0	2	2	0.0	365.0	1.0	1.4545978324126727
460	1._Divisjon_1990	Tippeligaen_1991	0.9442098736763	0.0	10.265707373830775	0	1	0	2	2	4	0.0	481.0	117.0	2.007515307860721
461	1._Eishockey-Liga_1994/95	1._Eishockey-Liga_1995/96	0.9612289071083068	0.0	0.0	14	4	41	44	6	9	0.8972994403818544			8.655397399413808
462	1._Eishockey-Liga_1994/95	2._Eishockey-Liga_1994/95	0.9728118181228638	0.0	0.0	0	1	41	21	6	8	0.0			6.41468771013785
463	1._Eishockey-Liga_1994/95	DEL_1994/95	0.8960954546928406	0.0	0.0	2	2	41	129	6	7	0.6263149256920486			5.257234921446806
464	1._Eishockey-Liga_1994/95	Eishockey-Oberliga_1993/94	0.9669497609138488	0.0	0.0	11	1	41	30	6	10	0.8852198355149161			7.190072988934768
465	1._Eishockey-Liga_1995/96	1._Eishockey-Liga_1994/95	0.9612289071083068	0.0	0.0	14	4	44	41	9	6	0.8972994403818544			7.336676463126643
466	1._Eishockey-Liga_1995/96	1._Eishockey-Liga_1996/97	0.975961446762085	0.0	0.0	12	4	44	69	9	15	0.8421240999636398			8.465141714944433
467	1._Eishockey-Liga_1996/97	1._Eishockey-Liga_1995/96	0.975961446762085	0.0	0.0	12	4	69	44	15	9	0.8421240999636398			7.612929839754801
468	1._Eishockey-Liga_1996/97	1._Eishockey-Liga_1997/98	0.9618327021598816	0.0	0.0	29	4	69	94	15	12	0.8893663793604017			8.72863656178221
469	1._Eishockey-Liga_1997/98	1._Eishockey-Liga_1996/97	0.9618327021598816	0.0	0.0	29	4	94	69	12	15	0.8893663793604017			7.856551922412551
470	1._Eishockey-Liga_1997/98	1._Eishockey-Liga_1998/99	0.9549434185028076	0.0	0.0	7	3	94	25	12	12	0.776950911347335			8.595911946127629
471	1._Eishockey-Liga_1997/98	2._Eishockey-Liga_1997/98	0.954737424850464	0.0	0.0	1	1	94	23	12	3	0.6126206369006242			5.161924741642482
472	1._Eishockey-Liga_1997/98	Eishockey-Bundesliga_1998/99	0.9646666049957277	0.0	0.0	18	7	94	60	12	21	0.8465171672390815			6.666002138418756
473	1._Eishockey-Liga_1998/99	1._Eishockey-Liga_1997/98	0.9549434185028076	0.0	0.0	7	3	25	94	12	12	0.776950911347335			7.190072988934768
474	1._Eishockey-Liga_1998/99	2._Eishockey-Liga_1998/99	0.9793736338615416	0.0	0.0	0	4	25	27	12	8	0.0			6.325075551448163
475	1._Eishockey-Liga_1998/99	Eishockey-Bundesliga_1998/99	0.941096305847168	0.0	0.0	2	5	25	60	12	21	0.7079238990612491			7.484312461932707
476	1._Eishockey-Liga_1998/99	Eishockey-Oberliga_1999/2000	0.9653668403625488	0.0	0.0	9	2	25	63	12	28	0.832895952414421			8.279874647920723
477	1._FC_Düren	Fußball-Mittelrheinliga_2018/19	0.9659473896026612	-1.0	0.0	2	1	19	7	20	7	0.8257226371518065			5.631928370888217
478	1._FC_Düren	II._Division	0.8303318023681641	-1.0	0.0	3	0	19	629	20	10	0.5515255225604941	24837.0	19360.0	5.424289006109973
479	1._FC_Düren	Mittelrheinpokal	0.9466596841812134	-1.0	0.0	4	1	19	65	20	7	0.76608660117125			8.478230397347506
480	1._FC_Haßfurt	II._Division	0.8306610584259033	-1.0	0.0	9	1	24	629	10	10	0.6365730597301134	11643.0	-5477.0	5.631928370888217
481	1._FC_Heidenheim	2._Fußball-Bundesliga_2014/15	0.9191235303878784	14808.710789219984	0.0	17	8	277	171	57	19	0.7129426509361649	3065.0	0.0	8.206447179365904
482	1._FC_Heidenheim	2._Fußball-Bundesliga_2015/16	0.9090833067893982	14808.710789219984	0.0	18	6	277	181	57	27	0.7171684929848376	3422.0	0.0	6.572911715352744
483	1._FC_Heidenheim	2._Fußball-Bundesliga_2016/17	0.9003274440765381	14808.710789219984	0.0	17	3	277	203	57	11	0.7077866752291049	3796.0	0.0	6.84832369521271
484	1._FC_Heidenheim	2._Fußball-Bundesliga_2017/18	0.923891544342041	14808.710789219984	0.0	12	5	277	179	57	21	0.6755907510148325	4150.0	0.0	7.6633606933816925
485	1._FC_Heidenheim	2._Fußball-Bundesliga_2018/19	0.910304069519043	14808.710789219984	0.0	11	5	277	259	57	28	0.653364148153252	4521.0	0.0	6.831808148000158
486	1._FC_Heidenheim	2._Fußball-Bundesliga_2019/20	0.9152427911758424	14808.710789219984	0.0	7	3	277	187	57	16	0.6181631979150336	4927.0	0.0	1.9732521282795812
487	1._FC_Heidenheim	3._Fußball-Liga_2009/10	0.9271057844161988	14808.710789219984	0.0	14	4	277	155	57	12	0.6960434657088503	936.0	0.0	7.391939141801692
488	1._FC_Heidenheim	3._Fußball-Liga_2010/11	0.9057394862174988	14808.710789219984	0.0	27	4	277	206	57	17	0.7558510056799759			6.155176514652765
489	1._FC_Heidenheim	3._Fußball-Liga_2011/12	0.9312531352043152	14808.710789219984	0.0	22	3	277	191	57	10	0.7364642287026393	1951.0	0.0	6.953684210870537
490	1._FC_Heidenheim	3._Fußball-Liga_2012/13	0.9235067367553712	14808.710789219984	0.0	21	4	277	193	57	17	0.7313330175364203	2346.0	0.0	7.381128225697476
491	1._FC_Heidenheim	3._Fußball-Liga_2013/14	0.909308910369873	14808.710789219984	0.0	22	5	277	192	57	15	0.7363209715024845	2686.0	0.0	7.935581002484762
492	1._FC_Heidenheim	DFB-Pokal_2011/12	0.8939328789710999	14808.710789219984	0.0	9	3	277	102	57	19	0.66531317443293	1461.0	-364.0	7.048994390674862
493	1._FC_Heidenheim	DFB-Pokal_2015/16	0.8918506503105164	14808.710789219984	0.0	8	4	277	104	57	25	0.6531517774726323	3428.0	0.0	7.325247767303019
494	1._FC_Heidenheim	DFB-Pokal_2018/19	0.8745123744010925	14808.710789219984	0.0	8	4	277	118	57	26	0.6488117048999089	4527.0	0.0	8.344136582139091
495	1._FC_Heidenheim	Fußball-Oberliga_Baden-Württemberg_2004/05	0.8145445585250854	14808.710789219984	0.0	1	2	277	4	57	6	0.5827100961975842			6.22663547863491
496	1._FC_Heidenheim	Fußball-Oberliga_Baden-Württemberg_2005/06	0.8764389157295227	-1.0		2	2	277	8	57	7	0.614303748922457			6.41468771013785
497	1._FC_Heidenheim	Fußball-Oberliga_Baden-Württemberg_2006/07	0.8721557259559631	-1.0		1	4	277	7	57	8	0.564632652152382			6.791165281372762
498	1._FC_Heidenheim	Fußball-Oberliga_Baden-Württemberg_2007/08	0.902883768081665	-1.0		4	4	277	19	57	14	0.644466573894322			8.360597859193163
499	1._FC_Heidenheim	Fußball-Regionalliga_2008/09	0.9220558404922484	14808.710789219984	0.0	8	4	277	116	57	19	0.6494054985575077			8.310378102214136
500	1._FC_Heidenheim	WFV-Pokal_2012/13	0.8310426473617554	-1.0		1	6	277	2	57	15	0.6031215613508806			7.190072988934768
501	1._FC_Heidenheim	Zweiter_Weltkrieg	0.2941204905509949	188.0004212146342	27.380441875335123	22	0	277	103548	57	953	0.0847437158943084	24594.0	22401.0	5.257234921446806
502	1._FC_Kaiserslautern	2._Fußball-Bundesliga_1996/97	0.8317552804946899	0.0	0.0	12	7	1692	64	212	10	0.5377105229807637	35125.0	-313.0	7.014694525168849
503	1._FC_Kaiserslautern	2._Fußball-Bundesliga_2007/08	0.8490904569625854	0.0	0.0	29	10	1692	135	212	16	0.591668450842191			5.3442462984364365
504	1._FC_Kaiserslautern	2._Fußball-Bundesliga_2009/10	0.8360088467597961	0.0	0.0	36	5	1692	166	212	10	0.6051855254728647	39878.0	-275.0	6.470119046068898
505	1._FC_Kaiserslautern	2._Fußball-Bundesliga_2012/13	0.8721089363098145	0.0	0.0	38	4	1692	207	212	15	0.6017147068999774	41259.0	0.0	6.612462085744747
506	1._FC_Kaiserslautern	2._Fußball-Bundesliga_2013/14	0.8453326225280762	0.0	0.0	49	5	1692	201	212	15	0.6295322925690613	41616.0	0.0	5.855071922202427
507	1._FC_Kaiserslautern	2._Fußball-Bundesliga_2014/15	0.8548437356948853	0.0	0.0	35	6	1692	171	212	19	0.6010827859508088	41994.0	0.0	6.293326853133582
508	1._FC_Kaiserslautern	2._Fußball-Bundesliga_2017/18	0.8588547706604004	0.0	0.0	43	6	1692	179	212	21	0.6204714872500695	43079.0	0.0	3.2639814472715667
509	1._FC_Kaiserslautern	3._Fußball-Liga_2018/19	0.8419030904769897	0.0	0.0	41	12	1692	256	212	35	0.6007882534151399	43449.0	0.0	6.245791638975872
510	1._FC_Kaiserslautern	3._Fußball-Liga_2019/20	0.8369858264923096	0.0	0.0	21	11	1692	166	212	24	0.5499139768926953	43862.0	0.0	2.881642584348397
511	1._FC_Kaiserslautern	A-Junioren-Bundesliga_2010/11	0.7647573947906494	-1.0		15	0	1692	50	212	1	0.5685059884805234			5.257234921446806
512	1._FC_Kaiserslautern	DFB-Hallenpokal	0.8151517510414124	0.0	0.0	19	22	1692	56	212	70	0.5858044539562268			6.884691339383585
513	1._FC_Kaiserslautern	DFB-Pokal_1971/72	0.7865384817123413	0.0	0.0	18	4	1692	32	212	7	0.6013968826350515	25780.0	-364.0	5.161924741642482
514	1._FC_Kaiserslautern	DFB-Pokal_1975/76	0.8072844743728638	0.0	0.0	16	3	1692	66	212	5	0.5633291778370071	38929.0	11324.0	5.631928370888217
515	1._FC_Kaiserslautern	DFB-Pokal_1989/90	0.8155671954154968	0.0	0.0	25	4	1692	41	212	13	0.6219988175096229	32355.0	-364.0	8.063135196799534
516	1._FC_Kaiserslautern	DFB-Pokal_1995/96	0.8246821165084839	0.0	0.0	20	7	1692	47	212	10	0.5970507054217806	34546.0	-364.0	8.189998702840342
517	1._FC_Kaiserslautern	DFB-Pokal_2002/03	0.7963531613349915	0.0	0.0	13	4	1692	44	212	9	0.5605687336820622	38784.0	1317.0	7.928009498524862
518	1._FC_Kaiserslautern	Deutsche_Fußballmeisterschaft	0.8724907636642456	0.0	0.0	249	13	1692	1917	212	77	0.7252983236234767			9.474065248852195
